A311D2,,,
Pin,Unit,Type,Name
J20,POWER,PWR,VDD_EE
J21,POWER,PWR,DVSS
J22,POWER,PWR,DVSS
J23,POWER,PWR,DVSS
J24,POWER,PWR,DVSS
J25,POWER,PWR,AVDD18_USB_PCIE
J26,POWER,PWR,DVSS
J28,GPIO,BI,GPIOT_15
J29,GPIO,BI,GPIOT_12
J30,GPIO,BI,GPIOM_2
J31,GPIO,BI,GPIOM_0
J32,GPIO,BI,GPIOM_3
K1,DDR0,BI,DDR0_AC_30
K2,POWER,PWR,DVSS
K3,DDR0,BI,DDR0_AC_21
K4,DDR0,BI,DDR0_AC_20
K5,DDR0,BI,DDR0_AC_28
K6,DDR0,BI,DDR0_AC_38
K8,POWER,PWR,DVSS
K9,POWER,PWR,VDDQ
K10,POWER,PWR,DVSS
K11,POWER,PWR,DVSS
K12,POWER,PWR,VDDCPU_A
K13,POWER,PWR,VDDCPU_A
K14,POWER,PWR,DVSS
K15,POWER,PWR,VDDCPU_A
K16,POWER,PWR,VDDCPU_A
K17,POWER,PWR,AVDD18_PLL
K18,POWER,PWR,DVSS
K19,POWER,PWR,VDD_EE
K20,POWER,PWR,VDD_EE
K21,POWER,PWR,VDD_EE
K22,POWER,PWR,DVSS
K23,POWER,PWR,DVSS
K24,USB,BI,USB_B_OTG_VBUS
K25,POWER,PWR,DVSS
K26,POWER,PWR,DVSS
K28,GPIO,BI,GPIOT_16
K29,GPIO,BI,GPIOT_17
K30,GPIO,BI,GPIOT_5
K31,GPIO,BI,GPIOT_8
K32,GPIO,BI,GPIOT_11
K33,GPIO,BI,GPIOT_7
L1,POWER,PWR,DVSS
L2,DDR0,BI,DDR0_DQM2
L3,DDR0,BI,DDR0_AC_32
L5,POWER,PWR,DVSS
L8,POWER,PWR,VDDQ
L9,POWER,PWR,DVSS
L10,POWER,PWR,VDD_DDR
L11,POWER,PWR,DVSS
L12,POWER,PWR,VDDCPU_A
L13,POWER,PWR,DVSS
L14,POWER,PWR,DVSS
L15,POWER,PWR,VDDCPU_A
L16,POWER,PWR,DVSS
L17,POWER,PWR,AVSS_PLL
L18,POWER,PWR,DVSS
L19,POWER,PWR,DVSS
L20,POWER,PWR,DVSS
L21,POWER,PWR,DVSS
L22,POWER,PWR,AVDD0V8_CSI
L23,POWER,PWR,DVSS
L24,POWER,PWR,DVSS
L25,POWER,PWR,VDDIO_M
L26,POWER,PWR,DVSS
L29,POWER,PWR,DVSS
L31,POWER,PWR,DVSS
L32,GPIO,BI,GPIOT_19
L33,GPIO,BI,GPIOT_6
M2,DDR0,BI,DDR0_DQ20
M3,DDR0,BI,DDR0_DQ17
M4,DDR0,BI,DDR0_AC_22
M5,DDR0,BI,DDR0_AC_23
M6,POWER,PWR,VDDQLP
M8,POWER,PWR,DVSS
M9,POWER,PWR,DVSS
M10,POWER,PWR,DVSS
M11,POWER,PWR,VDD_DDR
M12,POWER,PWR,VDDCPU_A
M13,POWER,PWR,VDDCPU_A
M14,POWER,PWR,DVSS
M15,POWER,PWR,VDDCPU_A
M16,POWER,PWR,VDDCPU_A
